"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"233733_at"	3.49819064235322e-11	6.39815389547914e-16	-86.0677858156985	25.239555974374	-12.8889326675718	""	""
"210873_x_at"	4.36631999266284e-11	2.31383761092185e-15	-75.8526331438954	24.4691001982825	-4.58662231462672	"APOBEC3A_B///APOBEC3A"	"APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A"
"223502_s_at"	4.36631999266284e-11	2.39578600420458e-15	-75.593558759222	24.4470201230336	-7.10817181706879	"TNFSF13B"	"tumor necrosis factor superfamily member 13b"
"240588_at"	5.39743795504843e-11	3.94874290264174e-15	-71.9697515893557	24.1230350997238	-4.50337836743598	""	""
"231752_at"	1.26284800312866e-10	1.15486785837098e-14	-64.7613754977712	23.3840578808172	-14.8669932576	"NPBWR1"	"neuropeptides B/W receptor 1"
"236758_at"	2.60566722634751e-10	2.85944277239782e-14	-59.2349320355171	22.7157820242598	-14.4434821472821	"LOC100132304///LINC00684"	"long intergenic non-protein coding RNA 684///long intergenic non-protein coding RNA 684"
"1554156_a_at"	2.75801209015972e-10	3.53106257542168e-14	-58.0177845948124	22.5547643427366	-12.6971049794206	"WFDC8"	"WAP four-disulfide core domain 8"
"241824_at"	3.27318562712667e-10	4.78929767115014e-14	-56.3031986771581	22.3185998641916	-11.9461204272339	""	""
"243525_at"	3.31088978420913e-10	5.94637045261994e-14	-55.1165152748657	22.1484280916906	-15.2693283901107	""	""
"226603_at"	3.31088978420913e-10	6.05558259571857e-14	-55.017852885305	22.1340231765433	-4.19885344137025	"SAMD9L"	"sterile alpha motif domain containing 9 like"
"231359_at"	3.7479684991468e-10	8.03461173338258e-14	-53.5072300746315	21.9083781611602	-13.4359400505829	"APOH"	"apolipoprotein H"
"201315_x_at"	3.7479684991468e-10	8.22599396246211e-14	-53.383349187991	21.8894405833134	-3.21774983586576	"IFITM2"	"interferon induced transmembrane protein 2"
"223298_s_at"	4.54498267303119e-10	1.08065431640431e-13	-51.9680937972971	21.6682500985908	-3.08486176853981	"NT5C3A"	"5'-nucleotidase, cytosolic IIIA"
"216966_at"	5.31197639487334e-10	1.36017685465435e-13	50.8038583994674	21.4793833549895	12.0921483455337	"ITGA2B"	"integrin subunit alpha 2b"
"204205_at"	6.67292599264998e-10	1.83671786065262e-13	-49.322650747343	21.2295991626085	-3.1117962910594	"APOBEC3G"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3G"
"230036_at"	6.67292599264998e-10	2.20145817848953e-13	-48.4501872991977	21.0772596165864	-4.46928727289787	"SAMD9L"	"sterile alpha motif domain containing 9 like"
"204187_at"	6.67292599264998e-10	2.22494786513875e-13	-48.3995445334457	21.0682944972074	-6.4347511341775	"GMPR"	"guanosine monophosphate reductase"
"210029_at"	6.67292599264998e-10	2.46958244478157e-13	-47.9045857760552	20.9799526261452	-4.34668919470782	"IDO1"	"indoleamine 2,3-dioxygenase 1"
"228439_at"	6.67292599264998e-10	2.49138208991787e-13	-47.8631158463173	20.9724910729712	-5.51020935331939	"BATF2"	"basic leucine zipper ATF-like transcription factor 2"
"216541_x_at"	6.67292599264998e-10	2.58829183934268e-13	47.6834625018681	20.9400586740573	11.5918711839619	"IGHM///IGHG1"	"immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)"
"235574_at"	6.67292599264998e-10	2.66833808562951e-13	-47.5405528150959	20.9141336464037	-5.05162920047616	"GBP4"	"guanylate binding protein 4"
"219593_at"	6.67292599264998e-10	2.6850365219625e-13	-47.5113338298777	20.9088192756257	-4.87378674576755	"SLC15A3"	"solute carrier family 15 member 3"
"202269_x_at"	6.77167862483333e-10	2.84862566751105e-13	-47.2352143961703	20.8583657260209	-3.59376990035503	"GBP1"	"guanylate binding protein 1"
"202270_at"	7.62423775996716e-10	3.34671616349724e-13	-46.4909299127777	20.7202403623948	-3.28135411597903	"GBP1"	"guanylate binding protein 1"
"219471_at"	7.74774072049663e-10	3.54263407430116e-13	-46.2309498765777	20.6712486839894	-3.0782594741085	"KIAA0226L"	"KIAA0226 like"
"220468_at"	8.10440383364819e-10	3.85394603886334e-13	-45.8486933643369	20.5985013897219	-5.00310260019175	"ARL14"	"ADP ribosylation factor like GTPase 14"
"221766_s_at"	8.30436804992964e-10	4.10092249379242e-13	-45.5688016295532	20.5446896579626	-2.83738449075388	"FAM46A"	"family with sequence similarity 46 member A"
"235609_at"	8.94672264959094e-10	4.58176925813528e-13	-45.0734013117348	20.4482954074312	-4.73034115808492	"BRIP1"	"BRCA1 interacting protein C-terminal helicase 1"
"228230_at"	1.03575453020185e-09	5.49371401478805e-13	-44.2738372933869	20.2895498162087	-3.2112950276854	"HELZ2"	"helicase with zinc finger 2"
"231577_s_at"	1.0599537888638e-09	5.81593299788095e-13	-44.0256864297789	20.2394687875451	-3.59037303278781	"GBP1"	"guanylate binding protein 1"
"211531_x_at"	1.17196405660971e-09	6.64513608470552e-13	-43.4507616746858	20.1219243234557	-2.44213323227859	"PRB1"	"proline rich protein BstNI subfamily 1"
"221122_at"	1.17196405660971e-09	6.97427227173391e-13	-43.2440758257333	20.0791420113157	-3.81677261999807	"HRASLS2"	"HRAS like suppressor 2"
"213221_s_at"	1.17196405660971e-09	7.08338921145009e-13	43.1779087542637	20.0653865567081	2.38949302696023	"SIK2"	"salt inducible kinase 2"
"212206_s_at"	1.17196405660971e-09	7.2879337768139e-13	43.0568372666226	20.0401420175653	3.16909450202624	"H2AFV"	"H2A histone family member V"
"223501_at"	1.39687527831816e-09	8.94204567739105e-13	-42.1967444530991	19.8579681847159	-7.03870496649002	"TNFSF13B"	"tumor necrosis factor superfamily member 13b"
